method,taxa,rtt
castles,Rostratula benghalensis,0.17487200000000003
castles,Jacana jacana,0.18846600000000002
castles,Pedionomus torquatus,0.184923
castles,Thinocorus orbignyianus,0.18207299999999998
castles,Arenaria interpres,0.14620200000000003
castles,Calidris pugnax,0.14958300000000002
castles,Limosa lapponica,0.146544
castles,Charadrius alexandrinus,0.141243
castles,Charadrius vociferus,0.14803000000000002
castles,Himantopus himantopus,0.13666000000000003
castles,Ibidorhyncha struthersii,0.14273800000000003
castles,Chionis minor,0.15152600000000002
castles,Pluvianellus socialis,0.15358200000000002
castles,Burhinus bistriatus,0.14642400000000003
castles,Balearica regulorum,0.145218
castles,Grus americana,0.142464
castles,Aramus guarauna,0.151628
castles,Psophia crepitans,0.17467500000000002
castles,Atlantisia rogersi,0.206484
castles,Zapornia atra,0.201629
castles,Heliornis fulica,0.220466
castles,Opisthocomus hoazin,0.174605
castles,Ceuthmochares aereus,0.200791
castles,Piaya cayana,0.214441
castles,Cuculus canorus,0.201383
castles,Centropus bengalensis,0.218605
castles,Centropus unirufus,0.210867
castles,Geococcyx californianus,0.206472
castles,Crotophaga sulcirostris,0.19159800000000002
castles,Ardeotis kori,0.16542700000000002
castles,Chlamydotis macqueenii,0.168972
castles,Lophotis ruficrista,0.159676
castles,Corythaeola cristata,0.157706
castles,Corythaixoides concolor,0.15973400000000001
castles,Tauraco erythrolophus,0.162195
castles,Columba livia,0.18396600000000002
castles,Patagioenas fasciata,0.18516500000000002
castles,Columbina picui,0.194236
castles,Alopecoenas beccarii,0.184229
castles,Caloenas nicobarica,0.176485
castles,Pterocles gutturalis,0.169876
castles,Syrrhaptes paradoxus,0.177987
castles,Pterocles burchelli,0.170298
castles,Mesitornis unicolor,0.186443
castles,Podiceps cristatus,0.14499900000000002
castles,Podilymbus podiceps,0.15191000000000002
castles,Phoenicopterus ruber,0.1274
castles,Anas platyrhynchos,0.186461
castles,Anas zonorhyncha,0.186466
castles,Asarcornis scutulata,0.188258
castles,Cairina moschata,0.18642799999999998
castles,Anser cygnoid,0.170587
castles,Anseranas semipalmata,0.145206
castles,Chauna torquata,0.149212
castles,Alectura lathami,0.203662
castles,Penelope pileata,0.21010900000000002
castles,Numida meleagris,0.20462500000000003
castles,Meleagris gallopavo,0.226328
castles,Tympanuchus cupido,0.23579
castles,Phasianus colchicus,0.22388300000000003
castles,Gallus gallus,0.22077800000000003
castles,Coturnix japonica,0.24733200000000002
castles,Odontophorus gujanensis,0.23398200000000002
castles,Colinus virginianus,0.238201
castles,Callipepla squamata,0.239583
