,branch,quartet_type,t1,t2,m_gts,n_gts,mu3,mu2,mu1,mua,mub,muc,mud,l_theory,l_simplified,l_empirical,gene_type
885,terminal B,balanced,1.1131700541,0.10774435054999999,8014,1986,2.30629802790475e-05,4.875452153161701e-05,9.4646634140553e-05,8.36781380013865e-05,6.6458923710113e-05,0.00015866089416089,5.93503651004935e-05,0.035934176550213144,0.045478663731747214,0.03618111271399799,non-matching
886,terminal C,balanced,1.1131700541,0.10774435054999999,8014,1986,2.30629802790475e-05,4.875452153161701e-05,9.4646634140553e-05,8.36781380013865e-05,6.6458923710113e-05,0.00015866089416089,5.93503651004935e-05,0.06486596752441384,0.06914134812816769,0.06466347499875219,matching
887,terminal C,balanced,1.1131700541,0.10774435054999999,8014,1986,2.30629802790475e-05,4.875452153161701e-05,9.4646634140553e-05,8.36781380013865e-05,6.6458923710113e-05,0.00015866089416089,5.93503651004935e-05,0.06417106355351287,0.0675966023871888,0.06426143891742196,non-matching
888,terminal D,balanced,1.1131700541,0.10774435054999999,8014,1986,2.30629802790475e-05,4.875452153161701e-05,9.4646634140553e-05,8.36781380013865e-05,6.6458923710113e-05,0.00015866089416089,5.93503651004935e-05,0.027281785591533096,0.03155716619528695,0.027226623432742698,matching
889,terminal D,balanced,1.1131700541,0.10774435054999999,8014,1986,2.30629802790475e-05,4.875452153161701e-05,9.4646634140553e-05,8.36781380013865e-05,6.6458923710113e-05,0.00015866089416089,5.93503651004935e-05,0.026586881620632132,0.03001242045430807,0.026588477945619336,non-matching
890,internal,balanced,1.9979778044,1.8539303844,9874,126,0.000116094947338055,0.00016428684172536002,0.000121428702015118,0.000244731416453523,8.839578288275699e-05,0.000102121310789148,0.00017023579578852402,0.10199532312478658,0.0534852459345249,0.10204974481871583,matching
891,internal,balanced,1.9979778044,1.8539303844,9874,126,0.000116094947338055,0.00016428684172536002,0.000121428702015118,0.000244731416453523,8.839578288275699e-05,0.000102121310789148,0.00017023579578852402,0.023218989467611,0.023218989467611,0.02218400095238095,non-matching
892,terminal A,balanced,1.9979778044,1.8539303844,9874,126,0.000116094947338055,0.00016428684172536002,0.000121428702015118,0.000244731416453523,8.839578288275699e-05,0.000102121310789148,0.00017023579578852402,0.023500802343807095,0.023629666226527287,0.02407733021571805,matching
893,terminal A,balanced,1.9979778044,1.8539303844,9874,126,0.000116094947338055,0.00016428684172536002,0.000121428702015118,0.000244731416453523,8.839578288275699e-05,0.000102121310789148,0.00017023579578852402,0.06410067555910895,0.06481184284938402,0.06332793523809525,non-matching
894,terminal B,balanced,1.9979778044,1.8539303844,9874,126,0.000116094947338055,0.00016428684172536002,0.000121428702015118,0.000244731416453523,8.839578288275699e-05,0.000102121310789148,0.00017023579578852402,0.02343757409774109,0.023566437980461284,0.023883945265343324,matching
