,dataset,branch,quartet_type,t1,t2,m_gts,n_gts,mu3,mu2,mu1,mua,mub,muc,mud,l_theory,l_simplified,l_empirical,gene_type,bl_true,bl_formula,bl_est
10,only_hs,internal,unbalanced,1.1305090147,0.69160236235,7847,2153,5.9011651831237e-05,6.630227825228e-05,9.7847557959382e-05,4.1585593078396495e-05,4.0638264528372e-05,7.273598944423e-05,7.07208194957985e-05,0.023798693599671045,0.02456639710357791,0.023885150653753025,matching,0.02212351,0.01984770205219481,0.020355301137780852
11,only_hs,internal,unbalanced,1.1305090147,0.69160236235,7847,2153,5.9011651831237e-05,6.630227825228e-05,9.7847557959382e-05,4.1585593078396495e-05,4.0638264528372e-05,7.273598944423e-05,7.07208194957985e-05,0.012256727139274858,0.013260455650455999,0.011786122545285648,non-matching,0.02212351,0.01984770205219481,0.020355301137780852
12,only_hs,terminal A,unbalanced,1.1305090147,0.69160236235,7847,2153,5.9011651831237e-05,6.630227825228e-05,9.7847557959382e-05,4.1585593078396495e-05,4.0638264528372e-05,7.273598944423e-05,7.07208194957985e-05,0.012962662319409353,0.012903278253323434,0.01307153047279215,matching,0.00147952,0.001619806628200951,0.005709885385726239
13,only_hs,terminal A,unbalanced,1.1305090147,0.69160236235,7847,2153,5.9011651831237e-05,6.630227825228e-05,9.7847557959382e-05,4.1585593078396495e-05,4.0638264528372e-05,7.273598944423e-05,7.07208194957985e-05,0.03331891716997377,0.034653409754060754,0.034485933330236876,non-matching,0.00147952,0.001619806628200951,0.005709885385726239
14,only_hs,terminal B,unbalanced,1.1305090147,0.69160236235,7847,2153,5.9011651831237e-05,6.630227825228e-05,9.7847557959382e-05,4.1585593078396495e-05,4.0638264528372e-05,7.273598944423e-05,7.07208194957985e-05,0.012928958525160338,0.012869574459074419,0.012991499833057219,matching,0.00144582,0.0015861028339519342,0.005656201920229047
15,only_hs,terminal B,unbalanced,1.1305090147,0.69160236235,7847,2153,5.9011651831237e-05,6.630227825228e-05,9.7847557959382e-05,4.1585593078396495e-05,4.0638264528372e-05,7.273598944423e-05,7.07208194957985e-05,0.03328521337572475,0.03461970595981174,0.033952337431490946,non-matching,0.00144582,0.0015861028339519342,0.005656201920229047
16,only_hs,terminal C,unbalanced,1.1305090147,0.69160236235,7847,2153,5.9011651831237e-05,6.630227825228e-05,9.7847557959382e-05,4.1585593078396495e-05,4.0638264528372e-05,7.273598944423e-05,7.07208194957985e-05,0.03198858058812792,0.032900164663747095,0.03189910912450618,matching,0.01903352,0.020274880988639277,0.02028680192802125
17,only_hs,terminal C,unbalanced,1.1305090147,0.69160236235,7847,2153,5.9011651831237e-05,6.630227825228e-05,9.7847557959382e-05,4.1585593078396495e-05,4.0638264528372e-05,7.273598944423e-05,7.07208194957985e-05,0.024008756788009452,0.023453671235678503,0.023988230743149094,non-matching,0.01903352,0.020274880988639277,0.02028680192802125
18,only_hs,terminal D,unbalanced,1.1305090147,0.69160236235,7847,2153,5.9011651831237e-05,6.630227825228e-05,9.7847557959382e-05,4.1585593078396495e-05,4.0638264528372e-05,7.273598944423e-05,7.07208194957985e-05,0.04797337999004008,0.050113556241370254,0.04797623774053778,matching,0.03745929,0.03627695797651488,0.037453331396011647
19,only_hs,terminal D,unbalanced,1.1305090147,0.69160236235,7847,2153,5.9011651831237e-05,6.630227825228e-05,9.7847557959382e-05,4.1585593078396495e-05,4.0638264528372e-05,7.273598944423e-05,7.07208194957985e-05,0.04444810940269813,0.04629959401898284,0.04480493806316768,non-matching,0.03745929,0.03627695797651488,0.037453331396011647
