,branch,quartet_type,t1,t2,m_gts,n_gts,mu3,mu2,mu1,mua,mub,muc,mud,l_theory,l_simplified,l_empirical,gene_type
1484,terminal B,unbalanced,3.3635452636000003,0.5801473373,9778,222,0.00021777328868566803,3.545256658809e-05,0.00011530914502382401,0.000153626710482906,8.120046062571602e-05,0.00031474325639451004,0.00010555026725037002,0.010977450260922374,0.010949817469569486,0.01107999821026795,matching
1485,terminal B,unbalanced,3.3635452636000003,0.5801473373,9778,222,0.00021777328868566803,3.545256658809e-05,0.00011530914502382401,0.000153626710482906,8.120046062571602e-05,0.00031474325639451004,0.00010555026725037002,0.04874063817393261,0.04219635208282799,0.05104093792792794,non-matching
1486,terminal C,unbalanced,3.3635452636000003,0.5801473373,9778,222,0.00021777328868566803,3.545256658809e-05,0.00011530914502382401,0.000153626710482906,8.120046062571602e-05,0.00031474325639451004,0.00010555026725037002,0.12142726533966093,0.1111967694467202,0.12134984704540806,matching
1487,terminal C,unbalanced,3.3635452636000003,0.5801473373,9778,222,0.00021777328868566803,3.545256658809e-05,0.00011530914502382401,0.000153626710482906,8.120046062571602e-05,0.00031474325639451004,0.00010555026725037002,0.10902663852481492,0.10881930856436642,0.10913160887387387,non-matching
1488,terminal D,unbalanced,3.3635452636000003,0.5801473373,9778,222,0.00021777328868566803,3.545256658809e-05,0.00011530914502382401,0.000153626710482906,8.120046062571602e-05,0.00031474325639451004,0.00010555026725037002,0.07401174550372286,0.04780817832646236,0.07401484698813664,matching
1489,terminal D,unbalanced,3.3635452636000003,0.5801473373,9778,222,0.00021777328868566803,3.545256658809e-05,0.00011530914502382401,0.000153626710482906,8.120046062571602e-05,0.00031474325639451004,0.00010555026725037002,0.06832773608985354,0.04664038255000714,0.06999948693693694,non-matching
1490,internal,unbalanced,1.2396957406,0.1587042528,8118,1882,0.000489148969267701,0.00080846479382056,0.00029032595932119304,0.000381926928186015,0.000468372191339912,0.000547901173025451,0.000249731945676571,0.07219480833834266,0.0998833684617848,0.07351049714954423,matching
1491,internal,unbalanced,1.2396957406,0.1587042528,8118,1882,0.000489148969267701,0.00080846479382056,0.00029032595932119304,0.000381926928186015,0.000468372191339912,0.000547901173025451,0.000249731945676571,0.0498959537789575,0.080846479382056,0.04726107259298618,non-matching
1492,terminal A,unbalanced,1.2396957406,0.1587042528,8118,1882,0.000489148969267701,0.00080846479382056,0.00029032595932119304,0.000381926928186015,0.000468372191339912,0.000547901173025451,0.000249731945676571,0.11995939467782021,0.11953892924389131,0.1199869294469081,matching
1493,terminal A,unbalanced,1.2396957406,0.1587042528,8118,1882,0.000489148969267701,0.00080846479382056,0.00029032595932119304,0.000381926928186015,0.000468372191339912,0.000547901173025451,0.000249731945676571,0.1621398477008425,0.20272576156008726,0.17210087062699259,non-matching
1494,terminal B,unbalanced,1.2396957406,0.1587042528,8118,1882,0.000489148969267701,0.00080846479382056,0.00029032595932119304,0.000381926928186015,0.000468372191339912,0.000547901173025451,0.000249731945676571,0.14244899439785635,0.14202852896392748,0.14386771077235772,matching
1495,terminal B,unbalanced,1.2396957406,0.1587042528,8118,1882,0.000489148969267701,0.00080846479382056,0.00029032595932119304,0.000381926928186015,0.000468372191339912,0.000547901173025451,0.000249731945676571,0.18462944742087864,0.2252153612801234,0.18976215576514346,non-matching
1496,terminal C,unbalanced,1.2396957406,0.1587042528,8118,1882,0.000489148969267701,0.00080846479382056,0.00029032595932119304,0.000381926928186015,0.000468372191339912,0.000547901173025451,0.000249731945676571,0.26363251164433055,0.2945336468801579,0.26260498900714463,matching
1497,terminal C,unbalanced,1.2396957406,0.1587042528,8118,1882,0.000489148969267701,0.00080846479382056,0.00029032595932119304,0.000381926928186015,0.000468372191339912,0.000547901173025451,0.000249731945676571,0.25415430508200465,0.23741387104354097,0.2437273578533475,non-matching
1498,terminal D,unbalanced,1.2396957406,0.1587042528,8118,1882,0.000489148969267701,0.00080846479382056,0.00029032595932119304,0.000381926928186015,0.000468372191339912,0.000547901173025451,0.000249731945676571,0.15496375813365748,0.19034781483927798,0.15851669601626014,matching
