Bees,Birds,Mammals,Fungi,Plants,Eudicots,Bacterial (core),Bacterial (non-ribosomal),Bacterial (WoL)
,0.88684107,,,,,,2.46231118,2.704859106
,0.58771734,,,,,,0.28918449,19.83766305
,1.41197183,,,,,,0.95602873,215.2887744
,1.23348018,,,,,,2.14458773,27.70662019
,0.54863466,,,,,,0.26883725,95.48841156
,0.53137918,,,,,,1.97197763,2.349655691
,0.68988051,,,,,,0.71145896,1.04744347
,0.76093165,,,,,,1.91801495,2.176127412
,0.64926468,,,,,,1.0811339,1.175135046
,0.85787796,,,,,,0.85811957,2.439757366
,0.87831968,,,,,,0.50982691,3.608867721
,0.85374772,,,,,,0.85891738,1.533286171
,0.85936757,,,,,,0.91602785,2.45303156
,1.11193294,,,,,,2.78488675,7.150832173
,1.05616094,,,,,,2.64802471,52.99317144
,0.89683574,,,,,,1.15185667,2.786200182
,0.8735639,,,,,,3.64206072,0.24926428
,0.34103293,,,,,,0.64295439,5.453971103
,0.86656783,,,,,,0.37512768,92.81178649
,0.84646218,,,,,,1.21346606,39908.19515
,0.95168856,,,,,,0.70957901,2.697649479
,0.84275799,,,,,,0.78152656,45.61665637
,0.84039405,,,,,,0.95558176,0.546886823
,0.83783276,,,,,,1.19777548,3.518754552
,1.09468701,,,,,,1.17305296,76988.66997
,0.87717328,,,,,,0.00384068,286.1743759
,0.86970272,,,,,,1.09879974,30.78416359
,0.80712711,,,,,,0.99539965,17.69315339
,0.92083834,,,,,,0.46492353,138.35848
,0.9575828,,,,,,2.42056966,16.62171832
,0.9228385,,,,,,1.0952872,2.504683163
,1.05612594,,,,,,0.94496625,3.046207863
,0.92027833,,,,,,1.91766781,0.61944355
,1.39637827,,,,,,7.46737018,960.1905952
,0.85281176,,,,,,1.10870204,535.3282897
,0.84125166,,,,,,0.42217799,17.36982932
,0.62496723,,,,,,1.03673357,4676.499033
,0.90924956,,,,,,1.34399883,39.69410832
,1.06571429,,,,,,1.06660126,30.13627664
,0.94594351,,,,,,1.10532595,1.98145456
,1.52198582,,,,,,0.22196982,3.151862632
,0.90665272,,,,,,18.1885993,1.519327621
,0.92034491,,,,,,1.12840337,2.877978072
,0.55618939,,,,,,0.32347189,2.485745331
,0.90695909,,,,,,0.9963925,3.011649325
,0.96881092,,,,,,0.9763634,0.16148449
,0.82779322,,,,,,0.19833166,4.149430848
,0.83834512,,,,,,0.73268946,2.03515699
,0.53761918,,,,,,1.61743433,7.561979554
,0.75887851,,,,,,9.53483457,24.00950922
,0.77572965,,,,,,1.35364865,2.246231661
,0.96085163,,,,,,1.80820411,2.671767881
,1.29552239,,,,,,0.88409407,10.58495815
,0.95397116,,,,,,,4.953220112
,1.18627451,,,,,,,2.799239482
,0.95713623,,,,,,,0.377335289
,0.88466112,,,,,,,4.767393183
,0.91491985,,,,,,,0.411203456
,0.90834399,,,,,,,4.781014987
,0.81993834,,,,,,,4.750908224
,0.87864734,,,,,,,92.35791383
,0.84908053,,,,,,,23.84516925
,0.81844548,,,,,,,64.81240759
,0.7645815,,,,,,,43.39039949
,0.7843903,,,,,,,2.349546619
,0.70827105,,,,,,,13.80060142
,0.91875238,,,,,,,0.385064361
,0.83634587,,,,,,,4.231712686
,1.07563694,,,,,,,20472.70605
,0.79964469,,,,,,,9.934150963
,0.88917108,,,,,,,36313.89489
,0.87647596,,,,,,,3.131206983
,0.83688295,,,,,,,17.88811624
,0.94162112,,,,,,,3.031161853
,1.01535414,,,,,,,2.428802525
,1.44280156,,,,,,,3.242869098
,0.90482014,,,,,,,2.004434724
,0.92818078,,,,,,,2.278290646
,0.89438076,,,,,,,8.902165295
,0.58754028,,,,,,,0.731791237
,0.9313052,,,,,,,0.878158074
,1.10178571,,,,,,,0.810784645
,0.93174942,,,,,,,4.207672057
,0.95809925,,,,,,,0.952988289
,0.91303767,,,,,,,2.871841709
,0.91006981,,,,,,,0.98562719
,0.76908935,,,,,,,4.082317459
,0.91483213,,,,,,,1.752993636
,0.88695978,,,,,,,1.81723142
,0.93351355,,,,,,,2.463670494
,0.9472982,,,,,,,0.81467815
,0.91924579,,,,,,,1.834925112
,0.92544147,,,,,,,0.826994369
,0.96347249,,,,,,,2.500617817
,0.92701863,,,,,,,3.373202267
,0.90702546,,,,,,,6.051400128
,0.90803589,,,,,,,12.47870615
,0.92683514,,,,,,,432.391833
,1.13157895,,,,,,,126.6633279
,0.91709625,,,,,,,6.102003234
,1.69205658,,,,,,,1.999675912
,0.93273326,,,,,,,1.056925449
,1.18897638,,,,,,,2.542760908
,0.93954133,,,,,,,0.532468434
,0.92807761,,,,,,,2.568842318
,1.05335731,,,,,,,39.97141851
,0.92438477,,,,,,,0.69538548
