Dataset,Branch Type,l1/l2
Birds,internal,1.0405849
Birds,terminal,0.946437381
Birds,internal,1.246302251
Birds,terminal,0.769936826
Birds,terminal,0.720597527
Birds,internal,0.933569151
Birds,terminal,0.960695519
Birds,internal,0.747791165
Birds,internal,1.555897436
Birds,terminal,0.899238082
Birds,terminal,0.887594749
Birds,internal,0.795696203
Birds,terminal,0.757237907
Birds,internal,0.884122919
Birds,internal,1.469459396
Birds,internal,0.474444444
Birds,terminal,0.601936219
Birds,terminal,0.606544451
Birds,internal,1.017670055
Birds,terminal,0.866203537
Birds,internal,0.692086649
Birds,terminal,0.935739086
Birds,internal,0.379109864
Birds,terminal,0.936994595
Birds,internal,0.829243866
Birds,terminal,0.756728991
Birds,terminal,0.767464346
Birds,internal,0.741412214
Birds,terminal,0.358263242
Birds,internal,0.979484613
Birds,terminal,0.914711359
Birds,terminal,0.928070109
Birds,internal,0.541740675
Birds,internal,0.457581631
Birds,internal,0.524132091
Birds,terminal,0.929234046
Birds,terminal,0.930334762
Birds,internal,0.761727575
Birds,terminal,0.910577394
Birds,internal,0.765330026
Birds,internal,0.840155629
Birds,terminal,0.956558634
Birds,internal,0.715561759
Birds,terminal,0.934327474
Birds,terminal,0.950115355
Birds,internal,0.332034541
Birds,terminal,0.941958528
Birds,internal,0.756945213
Birds,terminal,0.923463464
Birds,terminal,0.921354209
Birds,internal,0.753980483
Birds,internal,0.342326515
Birds,terminal,0.940086226
Birds,terminal,0.945684438
Birds,internal,0.148746518
Birds,terminal,0.929719834
Birds,internal,0.257865715
Birds,internal,0.646827214
Birds,internal,0.797900594
Birds,terminal,0.882183563
Birds,terminal,0.90491577
Birds,internal,0.799879385
Birds,terminal,0.908280746
Birds,terminal,0.927843108
Birds,internal,0.486540453
Birds,internal,0.569281411
Birds,terminal,0.693588731
Birds,terminal,0.728382208
Birds,internal,0.696108683
Birds,terminal,0.925421578
Birds,internal,0.792399459
Birds,internal,0.76369545
Birds,internal,0.937844217
Birds,terminal,0.889021048
Birds,terminal,0.871641611
Birds,internal,0.778174346
Birds,terminal,0.908463377
Birds,internal,0.770784723
Birds,terminal,0.963713423
Birds,internal,0.771818722
Birds,terminal,0.744784038
Birds,terminal,0.700921498
Birds,internal,0.983190548
Birds,terminal,0.926061843
Birds,internal,0.846077758
Birds,internal,0.951887049
Birds,internal,0.821367521
Birds,terminal,0.962724224
Birds,internal,1.075422627
Birds,internal,0.419603524
Birds,internal,1.113251156
Birds,terminal,0.905707256
Birds,terminal,0.924840347
Birds,internal,0.642426546
Birds,terminal,0.905428592
Birds,internal,0.723800883
Birds,terminal,0.569700967
Birds,terminal,0.348357372
Birds,internal,0.809282614
Birds,internal,0.817120013
Birds,terminal,0.915286658
Birds,terminal,0.905196964
Birds,internal,0.790565572
Birds,internal,0.877382079
Birds,terminal,0.846090497
Birds,terminal,0.873345486
Birds,internal,1.049612778
Birds,terminal,0.712396763
Birds,internal,0.902138212
Birds,internal,0.874203822
Birds,terminal,0.882762754
Birds,terminal,0.894777319
Birds,internal,0.760835741
Birds,terminal,0.855682072
Birds,internal,0.917913524
Birds,internal,1.453547915
Birds,terminal,0.899187366
Birds,terminal,0.903882107
Birds,internal,0.567739038
Birds,terminal,0.966043058
Birds,internal,0.925020375
Birds,terminal,0.919375777
Birds,terminal,0.898986344
Birds,internal,0.899946495
Birds,internal,0.919462396
Birds,terminal,0.900328693
Birds,terminal,0.9272412
Birds,internal,0.811926606
Birds,terminal,0.763582388
Birds,internal,0.886947213
Birds,terminal,0.939381501
Birds,internal,1.449239212
Birds,internal,1.39456467
Birds,internal,0.740671642
Birds,internal,0.802527646
Birds,terminal,0.669250201
Birds,terminal,0.767367856
Birds,internal,0.750826858
Birds,terminal,0.860380018
Birds,internal,0.947482845
Birds,internal,0.923623153
Birds,terminal,0.380603575
Birds,terminal,0.380841121
Birds,internal,0.799320388
Birds,terminal,0.839433906
Birds,internal,0.812474686
Birds,terminal,0.761214768
Birds,internal,0.838501338
Birds,terminal,0.72901925
Birds,internal,0.917562264
Birds,terminal,0.929896426
Birds,internal,0.821167883
Birds,terminal,0.940769112
Birds,internal,0.740717233
Birds,terminal,0.93843594
Birds,terminal,0.949653492
Birds,terminal,0.930833795
Birds,terminal,0.908688453
Birds,terminal,0.933297389
Birds,internal,0.848183042
Birds,terminal,0.890506002
Birds,internal,0.833235323
Birds,terminal,0.90086338
Birds,terminal,0.942035071
Birds,internal,0.853839566
Birds,internal,0.865836176
Birds,terminal,0.872621476
Birds,terminal,0.831344357
Birds,terminal,1.014894951
Birds,internal,0.853157991
Birds,internal,0.872373026
Birds,internal,0.825966303
Birds,internal,0.577419752
Birds,internal,0.82986213
Birds,internal,0.895928684
Birds,internal,0.892131545
Mammals,terminal,0.774064139
Mammals,terminal,0.833960833
Mammals,internal,0.771693867
Mammals,terminal,0.95725245
Mammals,terminal,0.99882562
Mammals,internal,0.408400477
Mammals,terminal,1.012305625
Mammals,internal,0.15683928
Mammals,terminal,0.921352008
Mammals,terminal,0.929230301
Mammals,internal,0.948485828
Mammals,internal,1.373589797
Mammals,terminal,0.86393887
Mammals,terminal,0.935444357
Mammals,internal,1.169698632
Mammals,terminal,0.923851503
Mammals,internal,1.262361708
Mammals,terminal,0.927689689
Mammals,internal,1.113759578
Mammals,terminal,0.884611626
Mammals,terminal,0.899263141
Mammals,internal,0.808659071
Mammals,terminal,0.95249082
Mammals,internal,1.356507925
Mammals,internal,0.498001616
Mammals,terminal,0.935240018
Mammals,terminal,0.958122531
Mammals,internal,0.572265392
Mammals,internal,1.373552139
Mammals,terminal,0.916107237
Mammals,terminal,0.945977431
Mammals,internal,0.976393905
Mammals,internal,1.352834431
Mammals,terminal,0.640387704
Mammals,terminal,0.667812553
Mammals,internal,0.854116688
Mammals,terminal,0.921457535
Mammals,internal,1.060572897
Mammals,terminal,0.983817081
Mammals,internal,2.021967163
Mammals,terminal,0.945297556
Mammals,internal,1.19077345
Mammals,terminal,0.808133338
Mammals,terminal,0.874163846
Mammals,internal,0.954345266
Mammals,internal,1.576727965
Mammals,terminal,1.007116123
Mammals,internal,0.27757915
Mammals,terminal,0.907981543
Mammals,terminal,0.942060582
Mammals,internal,0.634674148
Mammals,terminal,0.964371424
Mammals,terminal,0.985445577
Mammals,terminal,1.084373868
Mammals,terminal,0.871979234
Mammals,terminal,0.596141313
Mammals,terminal,0.764566045
Mammals,terminal,0.705458545
Mammals,internal,1.351143051
Mammals,internal,1.075330414
Mammals,internal,1.11028079
Mammals,internal,0.513126798
Mammals,internal,0.313994242
Mammals,internal,0.266864626
Mammals,internal,1.166204138
Mammals,internal,1.071673833
Mammals,internal,1.304136114
Mammals,internal,0.95459429
Mammals,terminal,1.014649387
Bees,terminal,2.435304423
Bees,internal,1.979378242
Bees,internal,1.961047036
Bees,terminal,1.900855076
Bees,internal,1.499825057
Bees,terminal,1.333518027
Bees,internal,1.224709288
Bees,internal,1.175889519
Bees,internal,1.120706388
Bees,internal,1.08658852
Bees,internal,1.056384419
Bees,terminal,0.988811354
Bees,internal,0.971829945
Bees,internal,0.955927097
Bees,terminal,0.944912311
Bees,terminal,0.943610067
Bees,terminal,0.942652385
Bees,terminal,0.917589636
Bees,internal,0.913097394
Bees,internal,0.911342974
Bees,internal,0.881808882
Bees,internal,0.875053179
Bees,internal,0.848982141
Bees,internal,0.847905879
Bees,terminal,0.845060394
Bees,internal,0.83127547
Bees,terminal,0.829280889
Bees,internal,0.82772145
Bees,internal,0.819264259
Bees,terminal,0.815133671
Bees,internal,0.808487632
Bees,terminal,0.800711985
Bees,internal,0.785663495
Bees,terminal,0.774753134
Bees,internal,0.762358742
Bees,terminal,0.758374441
Bees,terminal,0.748738784
Bees,terminal,0.739886753
Bees,internal,0.697258285
Bees,internal,0.64373914
Bees,terminal,0.615859998
Bees,internal,0.594560836
Bees,terminal,0.592905634
Bees,terminal,0.577896665
Bees,terminal,0.563912552
Bees,internal,0.548334369
Bees,terminal,0.526731351
Bees,terminal,0.526289334
Bees,terminal,0.526047414
Bees,terminal,0.449050666
Bees,terminal,0.389637308
Bees,terminal,0.377668978
Bees,internal,0.360540721
Bees,terminal,0.30278972
Bees,terminal,0.287902606
Bees,terminal,0.123165273
Bees,terminal,0.071066347
Fungi,terminal,1.291459645
Fungi,terminal,1.28559053
Fungi,internal,1.203679533
Fungi,terminal,1.140290014
Fungi,internal,1.111823991
Fungi,internal,1.109275511
Fungi,internal,1.101232993
Fungi,terminal,1.078088086
Fungi,internal,1.053970147
Fungi,internal,1.021760678
Fungi,internal,1.000943184
Fungi,terminal,1.000177468
Fungi,terminal,0.983447557
Fungi,terminal,0.981504025
Fungi,internal,0.972088637
Fungi,terminal,0.96819525
Fungi,terminal,0.959011511
Fungi,internal,0.958136492
