,Condition,num_genes,Method,replicate,Branch Type,l-true,l-est
104,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.01452682,0.012113
105,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.01410599,0.029542
106,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.05341693,0.024126
107,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.01122287,0.015142
108,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.00310943,0.000352
109,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.01212373,0.014234
110,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.00163688,0.008044
111,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.00248899,0.004042
112,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.00159893,0.006688
113,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.05553706,0.04485
114,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.01460932,0.018212
115,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.02204756,0.033733
116,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.02360788,0.035294
117,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.020735,0.033191
118,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.07824533,0.044408
119,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.03658473,0.015963
120,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.06958132,0.086911
121,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.03473132,0.046477
122,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.0158206,0.043801
123,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.01621969,0.011997
124,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.00208859,0.000678
125,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.0182605,0.021084
126,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.00422189,0.037883
127,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.00823185,0.009249
128,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.00323271,0.003395
129,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.00401594,0.002551
130,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.00258022,0.005773
131,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.0066209,0.015905
132,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.01346344,0.022216
133,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.08070845,0.195372
134,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.01496478,0.020726
135,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.0314403,0.020202
136,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.00198114,0.012538
137,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.0028938,0.000995
138,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.01482658,0.010197
139,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.00469377,0.001092
140,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.01171248,0.028318
141,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.00352287,0.0069
142,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.0113203,0.001513
143,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.00420073,0.003214
144,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.00871726,0.022103
145,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.00095517,0.004471
146,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.01683383,0.01709
147,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.00642392,0.019695
148,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.03480913,0.024942
149,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.03042928,0.040551
150,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.05217749,0.051415
151,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.01127867,0.011088
152,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.11102095,0.139717
153,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.0093258,0.021836
154,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.0390407,0.04284
155,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.00507101,0.004826
156,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.01327834,0.023944
157,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.02463876,0.032854
158,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.05167138,0.030952
159,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.01180155,0.020499
160,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.05732134,0.060303
161,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.02218151,0.013553
162,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.08309761,0.04027
163,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.00299871,0.002396
164,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.03305257,0.042425
165,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.01609756,0.008916
166,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.15044035,0.087232
167,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.04263057,0.102591
168,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.15129568,0.163076
169,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.03979013,0.043992
170,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.00909608,0.007619
171,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.00293509,0.015386
172,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.02235966,0.030815
173,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.00863667,0.00526
174,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.00317408,0.002732
175,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.00331381,0.004587
176,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.00630645,0.013266
177,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.03569805,0.036196
178,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.09739266,0.121265
179,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.02501961,0.045677
180,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.01788204,0.035898
181,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.35267125,0.271971
182,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.06945686,0.097066
183,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.00010592,0.00324
184,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.00077273,0.0116
185,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.00686292,0.004843
186,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.00377386,0.005935
187,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.01518097,0.037517
188,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.02827815,0.022176
189,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.0055436,0.011085
190,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.00248947,0.007519
191,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.00940085,0.015346
192,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.07588145,0.064129
193,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.00038683,0.001515
194,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.05018404,0.05717
195,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.00695676,0.012533
196,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.2122764,0.107083
197,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.12195289,1.154852
198,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.09832507,0.064795
199,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.17693598,0.138084
200,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.07905508,0.068846
201,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.19988018,0.19091
202,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.06923615,0.083143
203,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.01076866,0.007235
204,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.00599643,0.002073
205,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.01132899,0.017481
206,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.00378576,0.039682
207,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.02848246,0.010971
208,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.02874803,0.031519
209,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.0259027,0.031115
210,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.04770004,0.058902
211,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.03443568,0.029543
212,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.00681708,0.002578
213,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.0900837,0.093767
214,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.01701571,0.017985
215,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.00026508,0.012864
216,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.06432235,0.064422
217,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.03267542,0.026752
218,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.01798076,0.02157
219,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.03293097,0.0437
220,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.01621414,0.025978
221,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.03320696,0.020816
222,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.01079716,0.030127
223,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.00258372,0.015798
224,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.03510243,0.136121
225,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.02388138,0.011467
226,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.01840908,0.00589
227,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.00104231,0.010802
228,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.00028047,0.005828
229,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.01310204,0.015196
230,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.01213058,0.010796
231,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.00741346,0.004586
232,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.00014697,0.013158
233,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.02127102,0.055657
234,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.08100485,0.053207
235,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.03259682,0.02404
236,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.01525669,0.017319
237,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.0456377,0.027777
238,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.01175951,0.083128
239,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.22076643,0.151283
240,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.04222461,0.025544
241,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.07716669,0.079568
242,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.00488837,0.008736
243,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.00787628,0.002266
244,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.00436615,0.027178
245,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.00526247,0.01851
246,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.01110155,0.004798
247,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.00715837,0.018727
248,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.08358033,0.065275
249,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.0262318,0.04342
250,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.00070127,0.002443
251,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.00407039,0.000741
252,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.00720835,0.017014
253,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.0235542,0.011452
254,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.01036246,0.021003
255,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.03919053,0.039435
256,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.00318879,0.000488
257,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.03368812,0.04895
258,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.00359972,0.009953
259,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.00996467,0.014078
260,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.00509363,0.006332
261,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.00779964,0.017629
262,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.00856374,0.048419
263,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.08467085,0.121786
264,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.11269139,0.091731
265,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.00149965,0.002729
266,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.04462894,0.042749
267,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.00929462,0.008613
268,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.01177779,0.017335
269,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.00079281,0.004506
270,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.03774313,0.043409
271,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.06846745,0.060298
272,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.00155743,0.008942
273,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.0003463,0.001377
274,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.18027542,0.130299
275,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.00046429,0.000839
276,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.01043561,0.041049
277,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.3533513,0.397423
278,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.02199572,0.05384
279,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.01697152,0.01111
280,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.03178419,0.030939
281,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.08892682,0.084734
282,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.0417792,0.024551
283,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.00014386,0.003511
284,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.00087479,0.002952
285,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.00656276,0.016592
286,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.00782033,0.012779
287,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.0178178,0.019504
288,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.02506748,0.049526
289,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.01224014,0.03088
290,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.04814344,0.028912
291,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.0140426,0.020733
292,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.01117081,0.056495
293,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.14218547,0.127782
294,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.05190128,0.04697
295,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.00661797,0.002119
296,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.10187129,0.102105
297,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.00063568,0.041514
298,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.00655777,0.002165
299,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.03920113,0.044834
300,gtrees_10000_l1,100,CASTLES-Pro,01,internal,1.29272441,0.995717
301,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.04924068,0.063945
302,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.01452682,0.004275
303,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.01410599,0.029729
304,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.05341693,0.058536
305,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.01122287,0.023844
306,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.00310943,0.002524
307,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.01212373,0.013857
308,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.00163688,0.014567
309,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.00248899,0.008287
310,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.00159893,0.009902
311,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.05553706,0.042383
312,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.01460932,0.019552
313,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.02204756,0.026987
314,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.02360788,0.027979
315,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.020735,0.028334
316,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.07824533,0.044866
317,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.03658473,0.031206
318,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.06958132,0.149852
319,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.03473132,0.053708
320,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.0158206,0.03674
321,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.01621969,0.008612
322,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.00208859,0.000717
323,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.0182605,0.025974
324,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.00422189,0.018059
325,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.00823185,0.018929
326,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.00323271,0.003766
327,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.00401594,0.000312
328,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.00258022,0.006622
329,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.0066209,0.014464
330,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.01346344,0.026254
331,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.08070845,0.155748
332,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.01496478,0.017761
333,gtrees_10000_l1,100,CASTLES-Pro,01,terminal,0.0314403,0.046857
334,gtrees_10000_l1,100,CASTLES-Pro,01,internal,0.00198114,0.011934
