,condition,genes_num,Method,replicate,time_s,mem_gb
139,gtrees_10000_l1,10000,ERaBLE-DISCO,8,2518.2200000000003,12.33012
140,gtrees_10000_l1,50,ERaBLE-DISCO,9,17.490000000000002,0.108816
141,gtrees_10000_l1,100,ERaBLE-DISCO,9,30.82,0.154728
142,gtrees_10000_l1,500,ERaBLE-DISCO,9,130.25,0.632572
143,gtrees_10000_l1,1000,ERaBLE-DISCO,9,249.26999999999998,1.236768
144,gtrees_10000_l1,10000,ERaBLE-DISCO,9,2533.9800000000005,12.253156
145,gtrees_10000_l1,50,ERaBLE-DISCO,10,12.23,0.09058
146,gtrees_10000_l1,100,ERaBLE-DISCO,10,24.59,0.148052
147,gtrees_10000_l1,500,ERaBLE-DISCO,10,119.95000000000002,0.573352
148,gtrees_10000_l1,1000,ERaBLE-DISCO,10,249.95,1.20512
149,gtrees_10000_l1,10000,ERaBLE-DISCO,10,2547.04,12.31924
150,gtrees_10000_l1,50,FastME(AVG)-DISCO,1,6.840000000000001,0.083516
151,gtrees_10000_l1,100,FastME(AVG)-DISCO,1,13.549999999999999,0.130972
152,gtrees_10000_l1,500,FastME(AVG)-DISCO,1,62.690000000000005,0.535892
153,gtrees_10000_l1,1000,FastME(AVG)-DISCO,1,134.18,1.016772
154,gtrees_10000_l1,10000,FastME(AVG)-DISCO,1,1239.47,9.725604
155,gtrees_10000_l1,50,FastME(AVG)-DISCO,2,5.93,0.074092
156,gtrees_10000_l1,100,FastME(AVG)-DISCO,2,11.82,0.114176
157,gtrees_10000_l1,500,FastME(AVG)-DISCO,2,62.129999999999995,0.4687
158,gtrees_10000_l1,1000,FastME(AVG)-DISCO,2,123.67,0.90688
159,gtrees_10000_l1,10000,FastME(AVG)-DISCO,2,1136.44,8.53766
160,gtrees_10000_l1,50,FastME(AVG)-DISCO,3,7.4799999999999995,0.087608
161,gtrees_10000_l1,100,FastME(AVG)-DISCO,3,14.7,0.15644
